set,sort_name,card_number, name,gc02,gc03,gc04,gc05,gc06,gc07,gc08,gc09,gc10,gc11,gc12,dc02,dc03,dc04,dc05,dc06,dc07,dc08,dc09,dc10,dc11,dc12,specialty,s1,s2,s3,s4,s5,s6,prioritys,priorityt,subx,suby,tagx,tagy,oc02,oc03,oc04,oc05,oc06,oc07,oc08,oc09,oc10,oc11,oc12,ro02,ro03,ro04,ro05,ro06,ro07,ro08,ro09,ro10,ro11,ro12,division,promotion,era,year,position,notes,template
AWA ‘84,Wahoo McDaniel,AWA_20,Chief Wahoo McDaniel,DC,OC,DC,DC,DC,OC,OC,OC/TT,OC,OC,DC,A,C,A,B,A,B,A,B,A,B,Reverse,Tomahawk Chops,12,12 P/A,12,9,9,10,3,2,2,6,8,12,Ropes,Piledriver 12,Tomahawk Chops (S),Slam Into Turnbuckle 7,Apache Backbreaker 9,Body Slam 8,Indian Leglock 6,Suplex 5,Inside Back Cradle 6,Wrist Lock Take-down 5 (xx),Boston Crab 7*,Reverse Sunset 10 P/A,N/A,N/A,Back Drop 6,Tomahawk Chops (S),Spin Under Take-down 7,Tomahawk Chops (S),N/A,Shoulder Smash 9,Indian Sleeper 5*,N/A,Veteran,AWA,Original,1984,Lower Card,Pro Wrestling USA in November 1984.,true
AWA ‘84,Blackjack Mulligan,AWA_21,Black Jack Mulligan,OC,DC,OC,DC,OC,OC,DC,OC/TT,OC,DC,OC,B,Reverse,B,A,A,A,A,A,B,B,C,Fence Post,15,8 P/A,10,10,10 P/A,8,4,2,2,5,2,8,Elbow Smash to Gut 6,Shoulder Claw 9*,Ram Head Into Ringpost 10,Rake Opponent’s Face 7,Texas Bearhug 6 (xx),Stomach Claw 7,Grinding Headlock 6,Fence Post (S),Arm Drag And Twist 6,Single Hand Chokehold 10,Ropes,Bodyslam Onto Head 10,N/A,N/A,N/A,Neck Claw 9*,Shoulder Smash 6,Rib Cage Claw 8,N/A,Brain Claw 10,Throw Out Of Ring (DQ),N/A,Veteran,AWA,Original,1984,Tag Team,The Blackjacks in the AWA in June 1984.,true
AWA ‘84,Steve Olsonowski,AWA_22,Steve Olsonowski,OC,DC,DC,OC/TT,DC,OC,OC,DC,OC,OC,OC,B,A,C,A,A,B,B,A,B,Reverse,A,Airplane Spin,9,11,13,11,10 P/A,12,3,2,2,6,2,5,Ropes,Boston Crab 7,Airplane Spin (S),Flying Forearm Smash 8,Hip Roll 5,Spin Under Take-down 6,Arm Bar 8,Front Chancery 6,Flying Headscissors 6 (xx),Steve-o Suplex 7,Reverse Back Slide 6,Cross Body Block 8 P/A,N/A,Airplane Spin (S),Steve-o Suplex 7 P/A,N/A,Arm Bar 5,Smash Into Turnbuckle 7,N/A,Airplane Spin (S),N/A,Flying Forearm Smash 10,Young Star,AWA,Original,1984,Lower Card,AWA singles wrestler in 1984.,true
AWA ‘84,Harley Race,AWA_23,Harley Race,OC,DC,DC,DC,OC/TT,OC,DC,OC,OC,OC,OC,B,B,C,B,A,A,A,B,Reverse,B,A,Missouri Piledriver,10,14 P/A,9 P/A,10,9 P/A,11,5,3,2,3,7,12,Knee Drop 9,Indian Death Lock 9*,Elbow Smashes 6,Back Suplex 8 P/A,Head Scissors 7 (xx),Ram Into Turnbuckle 7,Missouri Piledriver (S),Eye Gouge 8,Pull Hair And Slug 6,Driving Head Butt 8,Ropes,N/A,N/A,N/A,Jump Off Middle Rope 10,Shoulder Smash 8,Catapult Into Turnbuckle 7,Power Head Butt 6,Cross Body Block 7,Shoudler Smash 8,Body Slam Outside Ring (DQ),N/A,Veteran,AWA,Original,1984,Tag Team,"AWA tag teams with Dory F., H. Race, N. Bockwinkel or K. Patera in 1984.",true
AWA ‘84,Steve Regal,AWA_24,Steve Regal,DC,DC,DC,OC/TT,DC,OC,OC,OC,DC,OC,DC,A,B,B,C,B,B,A,A,Reverse,A,A,Fort Lauderdale Leglock,10,9,11,13 P/A,12,11,3,2,2,6,8,12,Ropes,Fort Lauderdale Leglock (S),Knee Lift 8,Leg-clamp To Chest 7,Choke Against Ropes 8,Arm Drag And Twist 6,Head First Body Slam 7,Face-ripper 5 (xx),Kick To Midsection 6,Slam Into Ringpost 8,Rake With Foreign Object 9 P/A,N/A,N/A,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),N/A,Elbow Smash To Face 8,N/A,N/A,Choke Against Ropes 7,Shoulder Smash 8 P/A,Cruiserweight,AWA,Original,1984,Lower Card,AWA Light Heavyweight Champion in late 1984.,true
AWA ‘84,Brad Rheingans,AWA_25,Brad Rheingans,OC,OC,DC,DC,OC,OC,OC,DC,DC,OC/TT,OC,B,C,Reverse,B,A,A,A,B,B,A,A,Olympian Suplex,8,12 P/A,9,10 P/A,11,10,4,1,2,5,2,5,Ropes,Full Hammerlock 7,Spin Under Take-down 9,Headlock 6 (xx),Shoulder Smash 8,Arm Drag Take-Down 7,Atomic Kneedrop 8,Forearm Smashes 9,Olympian Suplex (S),Dropkicks 7,Sunset Flip 9 P/A,Sunset Flip 9 P/A,N/A,Shoulder Smash 8,Leg Dive Take-down 7,Cross Body Block 7,Arm Bar 5,N/A,N/A,Reverse Cradle 7 P/A,N/A,Dropkick Into Crowd (DQ),Heavyweight,AWA,Original,1984,Mid Card,AWA singles wrestler in 1984.,true
AWA ‘84,Dusty Rhodes,AWA_26,Dusty Rhodes,OC,DC,OC,OC/TT,OC,OC,DC,DC,OC,DC,OC,B,A,Reverse,A,B,A,B,A,C,A,B,Atomic Elbow,15 P/A,8 P/A,9,8,9,12,4,2,2,4,2,7,Ropes,Knee Joint Scissorlock 9*,Kick To Back 7,Stardust Piledriver 10,Spleen Cruncher 6 P/A,Face First Body Slam 7,Atomic Elbow (S),Arm Drag 8 (xx),Stomp On Face 8,american Dream Strut 10,Longhorn Suplex 10,N/A,Hurl Into Crowd (DQ),Shoulder Smash 6 P/A,N/A,Elbow Smash To Face 7,Elbow Smash To Throat 8,Wrap Around Headlock 7,N/A,Shoulder Smash 6 P/A,N/A,Throw Out Of Ring (DQ),Veteran,NWA,Original,1984,Tag Team,NWA World Tag Team champion in Pro Wrestling USA in November 1984.,true
AWA ‘84,Road Warrior Animal,AWA_27,Road Warrior Animal,DC,DC,DC,OC,OC,OC/TT,OC,OC,DC,DC,DC,B,B,Reverse,A,B,A,A,B,C,A,A,Warrior Smash,13 P/A,14 P/A,15,10 P/A,12,14,5,3,2,3,2,8,Ropes,Throw Onto Concrete (DQ),Kick to Stomach 8 P/A,Warrior Smash (S),Inverted Arm Twist 6,Arm Drag 6,Wrench Tricep 7 (xx),Clothesline 10,Yank Foe's Hair 9,Shoulder Breaker 8*,Interference By Hawk 11,N/A,N/A,N/A,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Shoulder Smash 9,Tangle Foe In Ropes 8,Lariat 10,Lariat 10 P/A,N/A,Heavyweight,AWA,Original,1984,Tag Team,AWA World Tag Team champion with RWH in late 1984.,true
AWA ‘84,Road Warrior Hawk,AWA_28,Road Warrior Hawk,DC,DC,DC,DC,OC,OC/TT,OC,OC,OC,DC,DC,B,A,C,A,A,A,B,Reverse,A,B,B,Warrior Smash,12 P/A,15 P/A,9,14 P/A,10,12,5,3,2,3,6,12,Interference By Animal 9 P/A,Spinebreaker 5*,Lariat 7,Shoulder Buster 7,Arm Twist 6,One Handed Body Slam 10,Rear Chinlock 8 (xx),Warrior Smash (S),Wrench Bicep 8,Spit In Face 5,Ropes,N/A,Tangle Foe In Ropes 8,Lariat 9 P/A,Lariat 9 P/A,Cross Body Block 6,Tangle Foe In Ropes 8,Throw Out Of Ring (DQ),N/A,Throw Out Of Ring (DQ),N/A,N/A,Heavyweight,AWA,Original,1984,Tag Team,"AWA World Tag Team champion with Road Warrior Animal in late 1984. Due to a printer’s error, this card was labeled “Road Warrior Animal” but was not a duplicate of the AWA Animal card.",true
AWA ‘84,Billy Robinson,AWA_29,Billy Robinson,DC,DC,OC,DC,DC,OC,OC,OC,OC/TT,DC,OC,B,B,C,A,B,A,A,Reverse,A,B,A,Reverse Neckbreaker,10,10,10,12 P/A,9 P/A,12,4,2,2,4,9,12,Ropes,London Fog Sleeper 10*,Reverse Arm Lock 6,Belly To Belly Suplex 8,Forarm Smash 9,Dropkicks 7,Leglock 7,Reverse Neckbreaker (S),Frontal Leg-trip 8,Abdominal Stretch 6 (xx),Boston Crab 10,London Fog Sleeper 5*,N/A,N/A,Belly To Belly Suplex 10,Belly To Belly Suplex 10,Dropkick To Face 7,N/A,Cross Body Block 6,Smash To Turnbuckle 5,N/A,Overhead Flip 7 P/A,Veteran,AWA,Original,1984,Tag Team,AWA singles and tag team wrestler with Nick Bockwinkel or Billy Robinson in 1984.,true
AWA ‘84,Masa Saito,AWA_30,Mr. Saito,DC,OC,DC,OC,DC,OC,OC/TT,DC,OC,OC,DC,A,Reverse,B,C,A,A,B,B,B,A,A,Oriental Chicken Wing,10,12,8*,11,10,9*,4,3,2,6,2,7,Osakian Nerve Pinch 7*,Bodyslam Onto Turnbuckle 8,Choke With Ring Rope 6,Oriental Chicken Wing (S),Pressure Wristlock 8,Judo Chop To Heart 8,Elbow Smash 8 (xx),Kick To Groin 6,Modified Chicken Wing 11,Ropes,Salt In Eyes 5 P/A,Throw Out Of Ring (DQ),Hiroshima Nerve Pinch 7*,N/A,N/A,Chop To Throat 10,Back Flip 8,N/A,Shoulder Smash 8,Oriental Chicken Wing (S),N/A,Kickt O Stomach 6,Heavyweight,AWA,Original,1984,Tag Team,AWA singles and tag team wrestler with N. Bockwinkel or B. Robinson in 1984.,true
AWA ‘84,Bruno Sammartino,AWA_31,Bruno Sammartino,OC,DC,OC/TT,DC,OC,OC,OC,OC,DC,DC,DC,B,A,A,B,A,A,Reverse,C,A,B,A,Bearhug,9*,10*,11 P/A,11 P/A,10,9,5,2,2,0,8,12,Ropes,Boston Crab 5*,Flying Dropkicks 7,Front Face Lock 9 (xx),Power Forearms 8,Hip Rolls 9,Figure-four Armbar 7,Head First Body Slam 8,Bearhug (S),Backbreaker 10*,Arm Drag And Twist 8,N/A,Throw Into Ringside (DQ),Body Block 8,N/A,Bearhug (S),Bearhug (S),Bearhug (S),Bearhug (S),Shoulder Block 6,N/A,N/A,Veteran,Misc,Original,1984,Upper Card,Did not wrestle in 1984.,true
AWA ‘84,Ray Stevens,AWA_32,Crippler Stevens,DC,OC,DC,DC,DC,OC/TT,OC,OC,OC,OC,OC,B,Reverse,A,C,B,A,B,A,A,B,A,Crippling Piledriver,12,12,10,10,9 P/A,15 P/A,4,3,2,5,6,12,Full Nelson 8,Throw Out Of Ring (DQ),Bombs Away 10,Bite Opponent's Face 7,Slam Into Turnbuckle 8,Choke Against Ropes 7 (xx),Forearm Smashes 6,Crippling Piledriver (S),Chokehold Headlock 5,Body Stomp 10 P/A,Ropes,Kick To Groin 9,Kick To Groin 9,N/A,Bombs Away 7,N/A,Shoulder Smash 6,Piledriver On Concrete (DQ),Elbow To Throat 7,N/A,Bombs Away 10 P/A,N/A,Veteran,AWA,Original,1984,Mid Card,AWA singles wrestler in January 1984.,true
AWA ‘84,Baron Von Raschke,AWA_33,Baron Von Raschke,DC,DC,DC,OC,DC,OC,OC,OC,DC,OC/TT,OC,A,C,Reverse,A,B,B,B,A,B,A,A,Brain Klaw,9,10,10*,11,12,8*,4,1,2,5,2,7,The Ally Drop 11 P/A,Rib Cage Claw 10 (xx),Twist Foe’s Neck 7,Choke With Cape 10,Knee To Throat 6,Leg-Twister 5,Headlock 6,Smash With Chair 10,Brain Klaw (S),Bismarck Sleeper 8,Ropes,Shoulder Block 7,Back Flip 6,N/A,Brain Klaw (S),N/A,Brain Klaw (S),Throw Out Of Ring (DQ),Brain Klaw (S),Knee To Gut 8 P/A,N/A,N/A,Veteran,AWA,Original,1984,Tag Team,AWA World Tag Team Champion with The Crush in June 1984.,true
AWA ‘84,Otto Wanz,AWA_34,Otto Wanz,OC,DC,DC,DC,OC,OC,OC,DC,OC/TT,DC,DC,A,Reverse,A,B,A,A,B,A,C,B,B,Big Splash,15 P/A,10,10,10,12,10,3,2,2,5,9,12,Ropes,Belly Slam 5,Reverse Armlock 6 (xx),Power Bodyslam 7,Win Test Of Strength 8,Power Forearms 8,Figure Four Armbar 9,Suplex 6,Big Splash (S),Austrian Headscissors 10,Kneedrop To Midsection 8,N/A,Shoulder Smash 7 P/A,N/A,Cross Bodyblock 8,N/A,Shoulder Smash 9,Kick To Rib Cage 7,Throw Into Turnbuckle 6,N/A,N/A,Backdrop 10,Veteran,AWA,Original,1984,Upper Card,CWA World Heavyweight Champion in December 1984. Had previously held the AWA World Heavyweight title.,true
AWA ‘84,Larry Zbyszko,AWA_35,Larry Zbyszko,OC,OC,OC,OC,OC,OC/TT,DC,DC,DC,DC,OC,B,A,Reverse,A,B,A,A,C,B,B,A,Abdominal Stretch,10,10,9*,11,10,11,3,3,2,5,2,6,Smash With Chair 10,Flying Kneedrop 10,Catapult For Across Ring 8,Abdominal Stretch (S),Kick To Face 5,Double Elbow Smash 7,Arm Bar 6 (xx),Choke Hold 8,Piledriver 9,Throw Thru Ropes (DQ),Ropes,Lunge Off Middle Rope 10,N/A,Kick To Midsection 6,Flying Bodyblock 7,N/A,Shoulder Smash 8 P/A,Backdrop 6,Throw Thru Middle Rope (DQ),N/A,N/A,Double Chop To Plexus 12,Young Star,AWA,Original,1984,Mid Card,AWA singles wrestler in 1984. Also tag teamed with S. Regal.,true
SuperSet '85,Chris Adams,85_B01,Mr. Superkick,DC,OC,DC,OC/TT,DC,OC,OC,DC,OC,DC,DC,A,A,C,A,B,A,B,A,Reverse,B,B,The Superkick,9,12 P/A,14,11,8,15 P/A,5,2,2,4,9,12,Ropes,Sleeperhold 5*,Throw Out Of Ring (DQ),Wraparound Choke 9,Judo Smash 12,Crossover Toe Hold 6,Scissorlock 8,The Superkick (S),Slam With Chair 5 (xx),Flying Dropkick 7,Sunshine Interference 10 P/A,N/A,Sunshine Interference 10 P/A,Sunshine Interference 10 P/A,N/A,Cross Body Block 7,Judo Smash 8,N/A,Shoulder Butt 6,N/A,N/A,Shoulder Butt 6,Young Star,World Class,Original,1985,Tag Team,World Class tag team with G. Hernandez in April 1985.,true
SuperSet '85,Arn Anderson,85_B02,Arm Anderson,DC,OC,OC,OC/TT,DC,OC,OC,DC,DC,OC,DC,A,Reverse,C,A,B,B,B,A,A,A,B,O And A Kneedrop,11 P/A,9,10,9,10 P/A,9,4,2,2,4,9,12,Ropes,Ram Into Turnbuckle 7,O And A Kneedrop (S),Hammerlock 7 (xx),Frontal Plex 9,Elbow Smash 8,Hip Toss 6,Kick To Ribcage 9,Knee To Midsection 5,Nasty Eye Rake 10,Half Boston Crab 9*,Cross Bodyblock 6,Cross Bodyblock 7,N/A,O And A Kneedrop (S),N/A,Attack By Oil 8 P/A,N/A,Arm Bar 6,N/A,N/A,Hip Toss 7,Young Star,NWA,Original,1985,Tag Team,NWA singles and tag team wrestler with O Anderson in April 1985.,true
SuperSet '85,Ole Anderson,85_B03,Oil Anderson,OC,DC,OC,OC,DC,OC,DC,OC,OC/TT,DC,OC,B,C,B,A,A,A,B,A,Reverse,B,A,O And A Kneedrop,10,9 P/A,8,9 P/A,12,12,4,2,2,4,2,5,Ropes,O And A Kneedrop (S),Righthand Smash 10,Throw Out Of Ring (DQ),Standing Armlock 8,Knee to Lower Back 9,Yank Hair 6,Kick To Ribs 9,Arm Drag & Twist 6,Full Nelson 5 (xx),Kick Into Crowd (DQ),N/A,Kneedrop 10,N/A,Attack By Arm 8 P/A,Shoulder Smash 6,N/A,Shoulder Smash 6,N/A,N/A,Concrete Bodyslam (DQ),Cross Bodyblock 7,Veteran,NWA,Original,1985,Tag Team,NWA singles and tag team wrestler with A. Anderson in April 1985.,true
SuperSet '85,Jim Neidhart,85_B04,Anvil-Man,OC,OC,DC,OC/TT,OC,OC,DC,DC,OC,OC,OC,B,B,Reverse,A,A,A,A,C,A,B,B,Power Slam,12,12 P/A,12,12,10,14 P/A,5,2,2,5,9,12,Ropes,Throw Into Crowd (DQ),Blatant Choke 6 P/A,Eye Gouge 5,Overhead Power Smash 9 (xx),Maniac Elbow Drop 8,Anvil Smash 10,Elbow To Plexus 6,Power Slam (S),Yank Foe's Hair 5,Rear Chinlock 5,Kick To Midsection 7,N/A,N/A,Maniac Elbow Drop 9,N/A,Power Slam (S),Power Slam (S),Anvil Smash 10,N/A,N/A,Trip Up Foe 7,Heavyweight,WWF,Original,1985,Mid Card,WWF singles wrestler in April 1985.,true
SuperSet '85,Brad Armstrong,85_B05,Brag Armstrong,DC,DC,OC/TT,DC,OC,OC,OC,DC,OC,DC,DC,A,Reverse,B,A,A,B,B,A,C,B,A,Reverse Rolling Cradle,9,10,9 P/A,10,8 P/A,11,4,2,2,4,2,4,Ropes,Drop Toe Hold 8,Kneelift 6,Hammerlock 5,Flying Headscissors 10,Reverse Headlock 7,Power Slam 6,Reverse Rolling Cradle (S),Dropkicks 9,Figure 4 Armlock 8*,Sleeper 9,N/A,N/A,Flying Body Press 8 P/A,Flying Body Press 7 P/A,Reverse Rolling Cradle (S),Dropkicks 9 (xx),Shoulder Block 5,N/A,N/A,N/A,Sleeper 9*,Heavyweight,Mid South,Original,1985,Upper Card,Mid South singles wrestler in April 1985. Former North American Heavyweight Champion.,true
SuperSet '85,Jesse Barr,85_B06,Jesse Barrtender,DC,OC,DC,OC,DC,OC,OC,DC,OC,OC/TT,DC,A,B,Reverse,C,A,B,B,A,A,B,A,Figure 4 Leglock,12,11,13*,14,15,7*,4,1,2,5,2,5,Ropes,Figure 4 Leglock (S),Knee To Groin 6,Clothesline 9,Suplex 7,Floridian Facelock 8,Chokehold 5,Flying Fistdrop 10,Yank Foe's Hair 6 (xx),Throw Thru Ropes (DQ),Kneedrop To Head 10 P/A,Kick To Gut 5,N/A,N/A,Clothesline 7 P/A,Bodyblock 6,Elbowsmash 8,N/A,N/A,Backdrop 8,N/A,Knee To Face 9,Young Star,Florida,Original,1985,Upper Card,Florida Heavyweight & U.S. Tag Team champion with R. Rude in April 1985.,true
SuperSet '85,Jerry Brisco,85_B07,Jersey Brisco,DC,OC,DC,DC,OC,OC/TT,DC,OC,OC,DC,OC,B,C,Reverse,A,A,A,B,A,A,B,B,Figure 4 Leglock,11*,9,10*,11,9,10,4,3,2,5,2,6,Ropes,Turnbuckle Smash 9,Figure 4 Leglock (S),Fireman's Carry 5,Back Suplex 7,Flying Dropkick 9,Back Armbar 8,Full Nelson 5,Continuous Forearms 6,Piledriver 10 (xx),Sleeperhold 8*,N/A,Dropkicks 6,Dropkicks 6,Shoulder Smash 7,N/A,Crossbody Block 8,Shoulder Smash 7,N/A,N/A,Reverse Cradle 8 P/A,N/A,Cruiserweight,WWF,Original,1985,Tag Team,Last wrestled as a WWF tag team with J. Brisco in February 1985.,true
SuperSet '85,Lou Albano,85_B08,The Captain,OC,DC,OC,OC,DC,OC/TT,DC,OC,OC,DC,OC,Reverse,B,A,A,A,B,B,B,A,A,C,Foreign Objects,8,9,10,10,16 P/A,8,3,3,2,8,8,12,Ropes,Spit In Face 4,Foreign Objects (S),Pull Hair 8,Seaside Right 5 (xx),Belly Bump 6,Throw Out Of Ring (DQ),Smash Into Turnbuckle 6,Starboard Smash 9,Taunt And Tease 12,Big Body Splash 15,Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),N/A,N/A,N/A,N/A,N/A,N/A,Belly Bump 5,Spit In Face 4,Belly Bump 5,Veteran,WWF,Original,1985,Tag Team,Wrestled once in February 1985 in a WWF tag team match.,true
SuperSet '85,Brutus Beefcake,85_B09,Bluto Cheesecake,OC,DC,OC,DC,OC/TT,OC,OC,DC,DC,OC,OC,A,C,B,A,A,A,B,B,Reverse,A,B,Knee Smash,11,10 P/A,11,9 P/A,12,10,4,3,2,5,8,12,Hanging Suplex 12,Throw Out Of Ring (DQ),Foot Stomp 6,Elbow To Jaw 8,Kick To Kidney 9,Side Headlock 7,Power Bodyslam 6 (xx),Smash To Head 8,Knee Smash (S),Studded Armband 11 P/A,Ropes,Hiplock 6,Hiplock 6,Knee Smash (S),N/A,Shoulder Block 5,N/A,Forearm To Face 8,N/A,N/A,N/A,Shoulder Block 7,Heavyweight,WWF,Original,1985,Tag Team,The Dr. Team with G. Valentine debuts in the WWF in April 1985.,true
SuperSet '85,Destroyer,85_B10,The Destroyer,DC,OC,DC,OC,DC,OC,DC,OC,OC,OC/TT,DC,Reverse,A,A,B,A,B,B,A,C,B,A,Iron Claw,12,8 P/A,10,10,11,9,4,1,2,6,2,4,Ropes,Kick Out Of Ring (DQ),Nerve Clamp 6*,Face Slam 9,Arm Bar 7,Chin Grip 7,Forearm Smash 8,Nose Gouge 8,Iron Claw (S),Hip Roll 7 (xx),Side Headlock 6,N/A,Forearm Block 6,N/A,Shoudler Block 7,N/A,Body Check 5,N/A,Shoulder Flip 8,N/A,Iron Claw (S),Iron Claw (S),Veteran,Misc,Original,1985,Mid Card,All Japan legend in May 1985.,true
SuperSet '85,Manny Fernandez,85_B11,Raging Bull,OC,DC,DC,OC/TT,OC,OC,DC,OC,OC,DC,DC,B,C,B,Reverse,A,A,B,A,A,B,A,Raging Bulldozer,8,9 P/A,15 P/A,11 P/A,12,10,5,2,2,4,9,12,Ropes,Forearm Smash 7,Raging Bulldozer (S),Face Pummel 5,Football Charge 6 (xx),Standing Armbar 8,Big Bull Slam 9,Lethal Karate Chop 10,Kick Into Crowd (DQ),Vertical Suplex 10 P/A,Small Package 9,N/A,N/A,Cross Body Block 10,N/A,Raging Bulldozer (S),Shoudler Smash 9,Shoulder Smash 6,Small Package 9 P/A,N/A,N/A,Small Package 9 P/A,Heavyweight,NWA,Original,1985,Tag Team,Former NWA World Tag Team champion in April 1984. Teams with D Kernodle or T. Patterson.,true
SuperSet '85,Ron Garvin,85_B12,Roon Garvin,OC,DC,OC,OC,OC,DC,OC,OC,DC,OC/TT,OC,B,B,A,C,A,A,A,Reverse,A,B,B,Flying Sunset Flip,8 P/A,9,10 P/A,11,10,9 P/A,5,1,2,3,10,12,Ropes,Hand Of Stone 9,Boston Crab 5*,Garvin Legsweep 7,Piledriver 7,Headlock Takedown 6,Stomach Bolo Punch 8,Flying Sunset Flip (S),Sleeperhold 6 (xx),Right Jab 5,Abdominal Stretch 10*,Hip Check 6,N/A,N/A,N/A,Flying Sunset Flip (S),Flying Sunset Flip (S),Flying Sunset Flip (S),N/A,Cross Body Block 7,N/A,Hand Of Stone 10,Heavyweight,NWA,Original,1985,Upper Card,NWA National Heavyweight Champion in April 1985.,true
SuperSet '85,Eddie Gilbert,85_B13,General G,DC,OC,OC,OC,DC,OC,DC,OC,OC/TT,DC,OC,A,Reverse,A,B,A,A,B,A,C,B,B,Flying Dropkicks,9,10 P/A,11,10,9,8,4,2,2,4,9,12,Ropes,Body Slam 5,Eye Rake 7,Grind Face In Mat 9,Armdrag Series 6 (xx),Hip Rolls 8,Fist Drop 6,Flying Dropkicks (S),Toss Into Crowd (DQ),Military Suplex 10,Abdominal Stretch 8*,N/A,N/A,Reverse Cradle 7 P/A,Shoulder Smash 5,Cross Bodyblock 8,Shoulder Smash 5,N/A,Throw Out Of Ring (DQ),N/A,N/A,Shoulder Smash 5,Cruiserweight,Memphis,Original,1985,Mid Card,“The General” in Memphis in April 1985. Moves to Mid South in May 1985.,true
SuperSet '85,Terry Gordy,85_B14,Freebear Gordy,OC,OC,OC,DC,DC,OC,OC/TT,OC,DC,OC,DC,B,B,A,B,A,A,A,A,Reverse,C,B,Oriental Spike,10,12 P/A,14 P/A,12 P/A,11,13,5,3,2,3,2,6,Ropes,Kick To Solar Plexus 7,Oriental Spike (S),Back Breaker 7,Face Slap 5,Turnbuckle Charge 8 (xx),Bam Bam Slam 9,Chokehold 6,Knee Driver 10,Double Eye Gouge 7 P/A,Piledriver On Chair 8 P/A,Face Slap 5,N/A,Bam Bam Slam 9 P/A,Bam Bam Slam 9,Bam Bam Slam 9 P/A,N/A,Shoulder Block 6,Throw Out Of Ring (DQ),N/A,N/A,N/A,Heavyweight,World Class,Original,1985,Tag Team,Member of the F.birds in World Class in April 1985.,true
SuperSet '85,Stan Hansen,85_B15,Stan Handsome,DC,OC,OC,OC,OC,OC,DC,DC,DC,OC/TT,DC,A,Reverse,B,B,A,B,B,A,A,C,A,The Lariat,9,10 P/A,10,12,11,8,4,1,2,5,2,4,Ropes,Choke With Rope 7,Kneelift To Face 10 P/A,Headlock 5 (xx),Right Hand Uppercut 8,Elbow Smash 7,Rake With Boot 6,Elbow Smash Off Rope 9,The Lariat (S),Knee To Back 5,Kick In Groin 12,Kick To Stomach 8,N/A,N/A,The Lariat (S),Bodyblock 6,The Lariat (S),Backdrop 7,N/A,N/A,Bodyblock 6 P/A,N/A,Super Heavyweight,Misc,Original,1985,Upper Card,All Japan singles wrestler in April 1985.,true
SuperSet '85,Gino Hernandez,85_B16,The Backsnapper,DC,OC,OC,DC,OC,OC,OC/TT,DC,DC,OC,OC,A,A,A,A,B,A,B,B,C,Reverse,B,Backsnapper,13 P/A,11 P/A,11,14,10,14,5,3,2,4,2,5,Ropes,Throw Out Of Ring (DQ),Spinning Toehold 8 P/A,Face Stomp 5,Rear Chinlock 7,Elbow Smash 8,Shoulder Breaker 6,Flying Kneedrop 9 (xx),Backsnapper (S),Standing Guillotine 11,Small Package 9,N/A,Kick To Ribs 8 P/A,N/A,Shoulder Breaker 7 P/A,Throw Into Crowd (DQ),Shoulder Breaker 7,N/A,N/A,Knee To Gut 10,N/A,Cross Body Block 9,Heavyweight,World Class,Original,1985,Tag Team,World Class tag team with C. Adams in April 1985.,true
SuperSet '85,Hercules Hernandez,85_B17,Hercules,DC,DC,DC,OC/TT,OC,OC,OC,OC,DC,DC,DC,A,C,A,B,A,A,B,B,A,Reverse,B,Backbreaker,10,20*,12,18*,16,14,5,2,2,4,2,5,Ropes,Lift Leg To Head 6,Power Body Slam 9,Turnbuckle Smash 8 (xx),Vertical Suplex 7,Throat Lift 6,Headlock 5,Herculian Bearhug 10,Double Face Stomp 10 P/A,Backbreaker (S),Throw Out Of Ring (DQ),Kick To Ribs 5,N/A,Herculian Bearhug 10*,Herculian Bearhug 10*,N/A,Cross Body Block 7,Cross Body Block 7,N/A,N/A,Elbow To Throat 8,N/A,Heavyweight,Florida,Original,1985,Upper Card,Florida Southern Heavyweight Champion in April 1985.,true
SuperSet '85,Nikita Koloff,85_B18,Nikita Kool-off,OC,DC,OC,OC,DC,OC/TT,DC,OC,OC,OC,OC,B,B,A,A,Reverse,A,C,A,A,B,B,Russian Sickle,14,13 P/A,12,10 P/A,11,12 P/A,5,3,2,0,6,12,Ropes,Snap Mare 4,Russian Sickle (S),Stomp On Face 5 P/A,Forearm Smash 6,Front Chokelock 8 (xx),Hiproll Takeover 8,Inverted Bearhug 10,Elbow To Spine 12,Soviet Backsmash 10 P/A,Choke By Comrade 8,N/A,N/A,N/A,Interference 10 P/A,Interference 10 P/A,Russian Sickle (S),Shoulder Smash 9,Siberian Smash 8,Cross Body Block 7,N/A,N/A,Heavyweight,NWA,Original,1985,Tag Team,NWA World Tag Team champion with I. Koloff in April 1985.,true
